1,2,10,7,1,1,0,0,1,0,60,92000,0
0,0,0,3,0,1,1,0,0,1,55,83000,1
1,2,10,10,1,1,1,0,1,0,70,35000,1
1,10,10,5,1,1,1,1,0,0,73,59000,0
1,3,7,7,1,1,1,0,1,0,49,97000,0
1,2,10,7,1,1,0,0,1,0,57,90000,1
0,0,0,3,0,1,1,0,0,1,58,85000,1
0,0,0,3,0,1,1,0,0,1,49,61000,0
1,10,10,7,0,1,1,1,0,0,46,56000,0
1,10,10,7,0,1,1,1,0,0,54,99000,1
1,5,20,10,1,0,0,0,1,0,53,116000,0
0,0,0,3,0,1,1,0,0,1,52,89000,1
1,3,7,7,1,1,1,0,1,0,51,80000,1
0,0,0,3,0,1,1,0,0,1,45,56000,0
0,0,0,3,0,1,1,0,0,1,52,75000,0
0,0,0,3,0,1,1,0,0,1,52,62000,0
0,5,20,10,1,0,0,0,1,0,39,73000,1
0,5,5,5,1,1,1,1,0,0,62,106000,0
0,2,10,7,1,1,0,0,1,0,57,70000,1
1,2,10,7,1,1,0,0,1,0,22,33000,0
1,5,5,7,1,1,0,1,0,0,51,79000,1
1,5,20,10,1,0,0,0,1,0,64,100000,0
1,10,10,7,0,1,1,1,0,0,74,67000,1
1,3,7,7,1,1,1,0,1,0,24,60000,1
0,0,0,3,0,1,1,0,0,1,56,42000,0
1,10,10,7,0,1,1,1,0,0,28,58000,1
1,5,5,5,1,1,1,1,0,0,66,93000,1
1,5,5,7,1,1,0,1,0,0,57,64000,0
1,3,7,7,1,1,1,0,1,0,75,78000,1
0,3,7,7,1,1,1,0,1,0,94,84000,1
0,10,10,5,1,1,1,1,0,0,36,55000,0
1,2,10,10,1,1,1,0,1,0,62,89000,0
1,10,10,7,0,1,1,1,0,0,41,87000,0
0,10,10,7,0,1,1,1,0,0,63,67000,1
1,2,10,10,1,1,1,0,1,0,59,106000,0
1,2,10,10,1,1,1,0,1,0,56,50000,0
0,2,10,7,1,1,0,0,1,0,41,70000,0
0,5,5,7,1,1,0,1,0,0,53,91000,1
1,10,10,7,0,1,1,1,0,0,62,36000,1
1,5,5,7,1,1,0,1,0,0,74,57000,1
1,5,5,7,1,1,0,1,0,0,83,93000,1
0,10,10,5,1,1,1,1,0,0,48,32000,0
0,0,0,4,1,1,0,0,0,1,51,114000,0
0,10,10,7,0,1,1,1,0,0,64,69000,0
0,0,0,3,0,1,1,0,0,1,43,72000,0
1,2,10,7,1,1,0,0,1,0,65,89000,0
0,2,10,7,1,1,0,0,1,0,53,79000,0
0,10,10,5,1,1,1,1,0,0,88,120000,1
0,2,10,7,1,1,0,0,1,0,31,33000,0
1,5,5,5,1,1,1,1,0,0,82,81000,1
0,2,10,7,1,1,0,0,1,0,51,39000,0
0,0,0,3,0,1,1,0,0,1,66,91000,0
1,10,10,5,1,1,1,1,0,0,81,85000,1
1,5,5,5,1,1,1,1,0,0,65,39000,0
0,0,0,3,0,1,1,0,0,1,51,81000,0
1,5,5,7,1,1,0,1,0,0,87,76000,1
1,10,10,5,1,1,1,1,0,0,56,102000,0
1,3,7,7,1,1,1,0,1,0,71,103000,1
0,0,0,3,0,1,1,0,0,1,66,101000,0
1,5,20,10,1,0,0,0,1,0,56,55000,1
0,2,10,7,1,1,0,0,1,0,73,73000,0
0,0,0,4,1,1,0,0,0,1,23,53000,0
1,2,10,10,1,1,1,0,1,0,60,71000,0
1,0,0,3,0,1,1,0,0,1,67,89000,0
0,5,20,10,1,0,0,0,1,0,52,105000,0
0,0,0,3,0,1,1,0,0,1,41,37000,1
0,0,0,3,0,1,1,0,0,1,60,37000,1
1,5,5,7,1,1,0,1,0,0,20,30000,0
1,2,10,10,1,1,1,0,1,0,43,72000,0
1,2,10,10,1,1,1,0,1,0,57,100000,1
0,10,10,7,0,1,1,1,0,0,52,56000,0
0,0,0,4,1,1,0,0,0,1,71,69000,0
1,5,5,7,1,1,0,1,0,0,48,90000,1
1,5,20,10,1,0,0,0,1,0,59,98000,0
